@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

german_credit,1,7,weka.classifiers.lazy.XNNClassifier,'-K 3',4093840036403736411,20191230.1734,900,100,65,35,0,65,35,0,0.005682,0.408719,0.481935,97.272853,105.166835,88.129157,2255.303372,-2167.174214,0.881292,22.553034,-21.671742,-14.036066,-0.140361,-15.9267,0.871429,61,0.866667,26,0.133333,4,0.128571,9,0.701149,0.871429,0.77707,0.006489,0.540238,0.713086,0.65,0.645238,0.354762,0.35,0.583112,0.65,0.599763,0.006489,0.539595,0.601227,0.481558,0.65,0.09,0.011,0.09375,0.015625,93.75,15.625,205304,181623,24023,100,100,?
german_credit,1,8,weka.classifiers.lazy.XNNClassifier,'-K 3',4093840036403736411,20191230.1734,900,100,69,31,0,69,31,0,0.077381,0.411182,0.48281,97.859249,105.357766,88.129157,1187.603935,-1099.474777,0.881292,11.876039,-10.994748,-13.377323,-0.133773,-15.179225,0.928571,65,0.866667,26,0.133333,4,0.071429,5,0.714286,0.928571,0.807453,0.099127,0.475952,0.676052,0.69,0.628095,0.371905,0.31,0.633333,0.69,0.626756,0.099127,0.473381,0.577395,0.506291,0.69,0.09,0.011,0.078125,0.015625,78.125,15.625,205304,181623,24023,100,100,?
german_credit,1,9,weka.classifiers.lazy.XNNClassifier,'-K 3',4093840036403736411,20191230.1734,900,100,68,32,0,68,32,0,0.058824,0.422058,0.476322,100.447559,103.942032,88.129157,109.576982,-21.447824,0.881292,1.09577,-0.214478,-18.667634,-0.186676,-21.182132,0.914286,64,0.866667,26,0.133333,4,0.085714,6,0.711111,0.914286,0.8,0.072739,0.509524,0.736864,0.68,0.632381,0.367619,0.32,0.617778,0.68,0.62,0.072739,0.510095,0.616561,0.5,0.68,0.091,0.011,0.09375,0.015625,93.75,15.625,205304,181623,24023,100,100,?
german_credit,1,10,weka.classifiers.lazy.XNNClassifier,'-K 3',4093840036403736411,20191230.1734,900,100,69,31,0,69,31,0,0.138889,0.393179,0.47183,93.574639,102.961748,88.129157,111.780791,-23.651633,0.881292,1.117808,-0.236516,-9.812802,-0.098128,-11.134569,0.885714,62,0.766667,23,0.233333,7,0.114286,8,0.729412,0.885714,0.8,0.152783,0.566667,0.77619,0.69,0.570952,0.429048,0.31,0.650588,0.69,0.653333,0.152783,0.567595,0.648183,0.555556,0.69,0.093,0.01,0.09375,0,93.75,0,205304,181623,24023,100,100,?
pima_diabetes,1,1,weka.classifiers.lazy.XNNClassifier,'-K 3',4093840036403736411,20191230.1734,691,77,61,16,0,79.220779,20.779221,0,0.551347,0.325392,0.402027,71.521267,84.251342,71.9683,2204.603666,-2132.635366,0.934653,28.631216,-27.696563,14.047587,0.182436,19.519132,0.82,41,0.259259,7,0.740741,20,0.18,9,0.854167,0.82,0.836735,0.552216,0.817407,0.851013,0.792208,0.231467,0.768533,0.207792,0.796481,0.792208,0.793798,0.552216,0.818446,0.808239,0.77551,0.792208,0.018,0.002,0.015625,0,15.625,0,89494,71247,9233,100,100,?
pima_diabetes,1,2,weka.classifiers.lazy.XNNClassifier,'-K 3',4093840036403736411,20191230.1734,691,77,57,20,0,74.025974,25.974026,0,0.448424,0.325443,0.40483,71.532559,84.838897,71.9683,2205.250775,-2133.282474,0.934653,28.63962,-27.704967,13.360318,0.173511,18.56417,0.76,38,0.296296,8,0.703704,19,0.24,12,0.826087,0.76,0.791667,0.451178,0.822593,0.873244,0.74026,0.276556,0.723444,0.25974,0.751334,0.74026,0.743805,0.451178,0.822073,0.817174,0.72342,0.74026,0.018,0.002,0.015625,0.015625,15.625,15.625,89494,71247,9233,100,100,?
pima_diabetes,1,3,weka.classifiers.lazy.XNNClassifier,'-K 3',4093840036403736411,20191230.1734,691,77,53,24,0,68.831169,31.168831,0,0.291411,0.376757,0.453366,82.811505,95.010304,71.9683,78.36083,-6.39253,0.934653,1.017673,-0.08302,3.287815,0.042699,4.568421,0.8,40,0.518519,14,0.481481,13,0.2,10,0.740741,0.8,0.769231,0.293465,0.73,0.851391,0.688312,0.40683,0.59317,0.311688,0.679194,0.688312,0.681838,0.293465,0.732208,0.753024,0.644615,0.688312,0.018,0.002,0.015625,0,15.625,0,89494,71247,9233,100,100,?
pima_diabetes,1,4,weka.classifiers.lazy.XNNClassifier,'-K 3',4093840036403736411,20191230.1734,691,77,56,21,0,72.727273,27.272727,0,0.351384,0.310252,0.393156,68.193655,82.392377,71.9683,60.590482,11.377818,0.934653,0.786889,0.147764,15.394759,0.199932,21.391027,0.88,44,0.555556,15,0.444444,12,0.12,6,0.745763,0.88,0.807339,0.365801,0.84037,0.920302,0.727273,0.402828,0.597172,0.272727,0.718028,0.727273,0.711259,0.365801,0.844007,0.843245,0.670336,0.727273,0.018,0.002,0.015625,0,15.625,0,89494,71247,9233,100,100,?
pima_diabetes,1,5,weka.classifiers.lazy.XNNClassifier,'-K 3',4093840036403736411,20191230.1734,691,77,60,17,0,77.922078,22.077922,0,0.484443,0.330088,0.415161,72.553601,87.003883,71.9683,1141.42326,-1069.454959,0.934653,14.823679,-13.889025,12.858314,0.166991,17.866635,0.9,45,0.444444,12,0.555556,15,0.1,5,0.789474,0.9,0.841121,0.495742,0.784815,0.846101,0.779221,0.323665,0.676335,0.220779,0.775632,0.779221,0.770002,0.495742,0.786114,0.795392,0.73971,0.779221,0.017,0.002,0.015625,0.015625,15.625,15.625,89494,71247,9233,100,100,?
pima_diabetes,1,6,weka.classifiers.lazy.XNNClassifier,'-K 3',4093840036403736411,20191230.1734,691,77,52,25,0,67.532468,32.467532,0,0.227838,0.385304,0.479261,84.690078,100.43715,71.9683,5434.817506,-5362.849206,0.934653,70.582046,-69.647392,2.450848,0.031829,3.405455,0.84,42,0.62963,17,0.37037,10,0.16,8,0.711864,0.84,0.770642,0.237186,0.640741,0.73246,0.675325,0.464954,0.535046,0.324675,0.657055,0.675325,0.656261,0.237186,0.642299,0.661103,0.607543,0.675325,0.018,0.002,0.015625,0,15.625,0,89494,71247,9233,100,100,?
